 "Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                        Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85580000000","97268000000","97400000000","101545000000","109469000000","122990000000","133857000000","152065000000","171251000000","184848000000","173035000000","178884000000","189596000000","193485000000","193312000000","205943000000","208997000000","212999000000","234169000000","232317000000","246171000000","197016000000","227526000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2040000000","2118000000","2124000000","1880000000","2199000000","2619000000","2595000000","2998000000","3517000000","3836000000","4125000000","4436000000","5058000000","4769000000","5275000000","5938000000","5998000000","5740000000","5366000000","5076000000","4420000000","4130000000","4604000000"
"                                France ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8677000000","11357000000","10704000000","11093000000","11263000000","12425000000","13413000000","15569000000","16652000000","16234000000","17094000000","17746000000","19149000000","18006000000","16592000000","18081000000","17805000000","17511000000","19366000000","19504000000","20365000000","13289000000","18186000000"
"                                Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14272000000","16676000000","17176000000","20259000000","21543000000","23538000000","24343000000","27719000000","30744000000","34966000000","31276000000","31356000000","32884000000","34185000000","34152000000","34012000000","33408000000","34702000000","35852000000","33867000000","35718000000","31554000000","34306000000"
"                                Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5436000000","6529000000","6280000000","5708000000","6342000000","7711000000","8475000000","9322000000","9524000000","9342000000","8769000000","8982000000","9262000000","9356000000","9227000000","9372000000","9312000000","9703000000","10467000000","11318000000","12000000000","4517000000","5881000000"
"                                Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361000000","312000000","297000000","426000000","435000000","615000000","525000000","740000000","958000000","1046000000","1609000000","1280000000","1454000000","1685000000","1780000000","1788000000","2031000000","2086000000","1895000000","1782000000","1802000000","2117000000","2348000000"
"                                Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4957000000","5884000000","6244000000","6538000000","6533000000","6815000000","7368000000","7774000000","8355000000","9186000000","8003000000","8846000000","9334000000","9540000000","9835000000","10481000000","10811000000","11132000000","12326000000","13360000000","14692000000","12624000000","16043000000"
"                                UK ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26122000000","26801000000","26546000000","26453000000","28763000000","31251000000","32374000000","37653000000","42024000000","45069000000","40436000000","44481000000","48886000000","49542000000","49965000000","56296000000","56487000000","53921000000","60011000000","62241000000","62817000000","52500000000","55488000000"
"                                Other Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15160000000","17468000000","17198000000","16852000000","32391000000","38016000000","44764000000","50290000000","59476000000","65170000000","61721000000","61759000000","63570000000","66402000000","66486000000","69976000000","73145000000","78204000000","88886000000","85171000000","94356000000","76286000000","90670000000"
"                                European Union  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74117000000","84323000000","83873000000","86811000000","93422000000","105928000000","113381000000","129992000000","146285000000","156613000000","145017000000","150251000000","160436000000","161649000000","161451000000","173746000000","177182000000","178779000000","193638000000","196741000000","207949000000","111297000000","132765000000"
"                                Euro Area  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43248000000","52102000000","54584000000","56914000000","60030000000","67508000000","72448000000","83037000000","94017000000","99783000000","94253000000","95907000000","101555000000","102056000000","101292000000","106259000000","108744000000","112554000000","120071000000","119652000000","130359000000","97420000000","115261000000"
"                        Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39629000000","44959000000","48566000000","50657000000","54682000000","64691000000","65263000000","73688000000","80054000000","90804000000","98606000000","102534000000","103456000000","103843000000","100401000000","105576000000","109124000000","109570000000","111492000000","115992000000","124818000000","88052000000","111513000000"
"                            By region ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                South and Central America  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19750000000","21960000000","21913000000","23272000000","23840000000","26711000000","28895000000","31103000000","34251000000","37552000000","35722000000","37592000000","41802000000","44709000000","45945000000","50515000000","54653000000","54606000000","56652000000","58338000000","61047000000","35731000000","51565000000"
"                                    By region ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                        Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"710000000","806000000","722000000","594000000","719000000","732000000","809000000","959000000","1084000000","1338000000","1355000000","1500000000","1757000000","1953000000","1823000000","1776000000","2260000000","2633000000","3121000000","2704000000","2432000000","1737000000","1634000000"
"                                        Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1330000000","1486000000","1566000000","1935000000","1641000000","1847000000","1829000000","3381000000","4065000000","5151000000","5450000000","5895000000","7657000000","8109000000","8404000000","9353000000","8683000000","8109000000","7790000000","6466000000","6506000000","4735000000","4979000000"
"                                        Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9740000000","11435000000","11273000000","12653000000","12888000000","14226000000","14613000000","15617000000","16729000000","17499000000","15527000000","15891000000","16543000000","17723000000","18908000000","21693000000","24398000000","25855000000","27610000000","28324000000","30510000000","17222000000","27652000000"
"                                        Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"743000000","555000000","695000000","794000000","529000000","524000000","656000000","689000000","751000000","742000000","690000000","569000000","538000000","550000000","446000000","465000000","559000000","471000000","288000000","219000000","169000000","120000000","131000000"
"                                        Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6399000000","6739000000","6737000000","6385000000","8063000000","9383000000","10988000000","10457000000","11621000000","12822000000","12700000000","13738000000","15307000000","16374000000","16364000000","17228000000","18753000000","17539000000","17844000000","20625000000","21430000000","11917000000","17169000000"
"                                Other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19880000000","22999000000","26653000000","27386000000","30843000000","37980000000","36368000000","42584000000","45803000000","53252000000","62884000000","64942000000","61654000000","59134000000","54456000000","55061000000","54470000000","54964000000","54839000000","57655000000","63771000000","52321000000","59948000000"
"                        Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3283000000","3395000000","3309000000","2963000000","3695000000","3876000000","4235000000","4657000000","5399000000","6646000000","7043000000","7745000000","8428000000","8341000000","7342000000","7231000000","7119000000","7363000000","8633000000","9416000000","9115000000","5159000000","6828000000"
"                            By region ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                South Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"809000000","885000000","807000000","672000000","876000000","853000000","863000000","1132000000","1138000000","1297000000","1276000000","1492000000","1654000000","1862000000","1557000000","1508000000","1502000000","1596000000","1764000000","1811000000","1875000000","879000000","1125000000"
"                                Other Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2474000000","2510000000","2502000000","2291000000","2819000000","3023000000","3372000000","3524000000","4261000000","5350000000","5767000000","6253000000","6774000000","6479000000","5785000000","5723000000","5617000000","5767000000","6869000000","7606000000","7240000000","4279000000","5703000000"
"                        Middle East ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5907000000","5438000000","5505000000","8329000000","11644000000","14727000000","16420000000","16441000000","17282000000","17987000000","18742000000","18011000000","17299000000","15282000000","14352000000","14598000000","14988000000","15060000000","15358000000","17373000000","17517000000","13516000000","17199000000"
"                        Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43471000000","48811000000","47420000000","49178000000","50804000000","60459000000","68232000000","75576000000","83210000000","90720000000","84996000000","99659000000","108097000000","115382000000","118650000000","124531000000","126447000000","132752000000","141191000000","148969000000","154699000000","127223000000","146089000000"
"                            By region ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5907000000000000","5438000000000000","5505000000000000","8329000000000000","2824000000","3504000000","4069000000","4408000000","4954000000","5638000000","6069000000","6073000000","6682000000","7383000000","6793000000","6811000000","7312000000","7290000000","8197000000","8330000000","8427000000","5765000000","5795000000"
"                                China ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43471000000000000","48811000000000000","47420000000000000","49178000000000000","4002000000","5629000000","7092000000","8766000000","10274000000","10867000000","9475000000","11493000000","12643000000","13494000000","14578000000","14906000000","15606000000","16622000000","17999000000","18914000000","19811000000","15610000000","20807000000"
"                                Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3442000000","3878000000","3952000000","3937000000","3667000000","4848000000","5519000000","5976000000","6958000000","7218000000","6474000000","7381000000","7903000000","7889000000","8516000000","9306000000","9383000000","9273000000","10252000000","11242000000","11395000000","9724000000","11508000000"
"                                India ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1366000000","1777000000","1779000000","1768000000","1989000000","2554000000","4530000000","6901000000","9916000000","12550000000","12740000000","15257000000","17644000000","18739000000","20574000000","22576000000","24869000000","26452000000","28313000000","29706000000","29695000000","25880000000","28989000000"
"                                Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15418000000","17085000000","16576000000","17244000000","17934000000","20476000000","22225000000","23430000000","24030000000","24904000000","21686000000","25064000000","25478000000","28993000000","31131000000","32848000000","30377000000","33069000000","35006000000","35219000000","35965000000","30855000000","31662000000"
"                                South Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4647000000","5222000000","5008000000","5177000000","5845000000","6676000000","6958000000","7133000000","7264000000","7733000000","7649000000","9530000000","9867000000","10184000000","10074000000","9820000000","10078000000","9257000000","8329000000","10268000000","10957000000","9677000000","12132000000"
"                                Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2862000000","3181000000","3202000000","3374000000","3641000000","4624000000","5340000000","5539000000","5670000000","5776000000","4509000000","5724000000","6081000000","5973000000","5964000000","6187000000","6624000000","6868000000","7202000000","7488000000","7450000000","6309000000","9789000000"
"                                Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4847000000","5787000000","4986000000","4876000000","8521000000","9265000000","8813000000","9373000000","9886000000","11181000000","11672000000","13922000000","15631000000","16308000000","14791000000","15644000000","15340000000","16645000000","17440000000","18268000000","19951000000","12174000000","13057000000"
"                        International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"929000000","1254000000","528000000","951000000","60000000","196000000","-1109000000","1077000000","257000000","964000000","124000000","1105000000","124000000","1163000000","70000000","1080000000","76000000","1299000000","79000000","1534000000","85000000","64000000","1500000000"
"        Income payments (debits) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            By type ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Primary income payments ($)","1238000000","1245000000","1324000000","1561000000","1783000000","2088000000","2482000000","2747000000","3378000000","4869000000","5514000000","5436000000","6572000000","9656000000","12084000000","12565000000","13312000000","14218000000","21680000000","32961000000","42533000000","53626000000","61359000000","59643000000","80574000000","79324000000","87304000000","99309000000","122981000000","146560000000","148345000000","131198000000","114845000000","116287000000","152302000000","192771000000","207212000000","248750000000","261978000000","292566000000","350980000000","288120000000","288886000000","317677000000","386256000000","492108000000","653945000000","752582000000","708225000000","537684000000","553311000000","589038000000","593754000000","616041000000","645623000000","639724000000","660798000000","737500000000","847286000000","893009000000","769397000000","915881000000"
"                Secondary income (current transfer) payments  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75160000000","84408000000","98364000000","105968000000","117330000000","131779000000","142232000000","139396000000","160092000000","180739000000","185652000000","190749000000","204865000000","202198000000","213903000000","226927000000","235712000000","254248000000","269032000000","265004000000","286887000000","294215000000","305144000000"
"            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13251000000","19233000000","20578000000","32152000000","31322000000","30533000000","24019000000","31219000000","35860000000","37828000000","44591000000","46241000000","46349000000","46280000000","56991000000","65865000000","68535000000","58866000000","78930000000"
"                Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188941000000","219456000000","284293000000","359812000000","403634000000","383869000000","280179000000","290941000000","323899000000","319159000000","330236000000","354285000000","345691000000","358204000000","413467000000","440316000000","458361000000","398943000000","485661000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12281000000","15079000000","17675000000","19772000000","24690000000","26133000000","22877000000","21305000000","21224000000","21332000000","23580000000","25200000000","21956000000","21991000000","25898000000","27504000000","27603000000","27236000000","30179000000"
"                        France ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11421000000","14640000000","19443000000","23942000000","16984000000","23751000000","21399000000","21563000000","20622000000","23029000000","21061000000","20053000000","25194000000","21646000000","22170000000","26526000000","28374000000","29463000000","32783000000"
"                        Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17219000000","23474000000","24379000000","29713000000","26887000000","40393000000","26462000000","30255000000","30755000000","28416000000","26743000000","32562000000","28071000000","29396000000","40343000000","43788000000","41261000000","37705000000","47953000000"
"                        Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2787000000","2962000000","2875000000","3209000000","3525000000","3931000000","2510000000","3159000000","3823000000","4314000000","4210000000","4421000000","3133000000","3389000000","3795000000","4927000000","5057000000","4594000000","5542000000"
"                        Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11690000000","15695000000","21027000000","26827000000","35114000000","35754000000","25410000000","25778000000","31321000000","35430000000","39056000000","41547000000","44659000000","49725000000","55877000000","61666000000","61762000000","56100000000","63337000000"
"                        Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14092000000","19539000000","26515000000","33815000000","38733000000","25420000000","23303000000","26754000000","28911000000","29721000000","32515000000","29110000000","24734000000","21667000000","24686000000","33244000000","32632000000","22057000000","33897000000"
"                        UK ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71401000000","71440000000","103979000000","138928000000","153195000000","112835000000","78358000000","83917000000","93919000000","83342000000","82883000000","84513000000","70950000000","77048000000","90127000000","97022000000","109847000000","87737000000","112820000000"
"                        Other Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48050000000","56629000000","68400000000","83605000000","104504000000","115652000000","79859000000","78209000000","93323000000","93573000000","100189000000","116879000000","126993000000","133340000000","150572000000","145641000000","151826000000","134051000000","159149000000"
"                        European Union  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157821000000","184485000000","244496000000","314419000000","348389000000","315944000000","232321000000","245930000000","264639000000","261589000000","272413000000","288127000000","278996000000","287088000000","338446000000","369347000000","381079000000","245424000000","293546000000"
"                        Euro Area  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81453000000","104672000000","130406000000","162830000000","180640000000","186582000000","143156000000","150096000000","157938000000","166313000000","175921000000","192266000000","197270000000","198041000000","231485000000","255410000000","250376000000","225192000000","271305000000"
"                Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105877000000","126726000000","145543000000","178401000000","213249000000","212388000000","169105000000","164955000000","165211000000","169642000000","177567000000","192109000000","200264000000","207723000000","213024000000","249450000000","277340000000","253471000000","264259000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        South and Central America  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39929000000","43162000000","50472000000","57380000000","64085000000","67585000000","55500000000","56454000000","59219000000","60017000000","60426000000","68206000000","70048000000","70162000000","71734000000","77414000000","80838000000","76163000000","81783000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"908000000","961000000","1192000000","1238000000","1357000000","1114000000","904000000","898000000","948000000","829000000","915000000","615000000","737000000","789000000","819000000","1109000000","1326000000","965000000","916000000"
"                                Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1882000000","2283000000","3056000000","4263000000","7472000000","8527000000","5973000000","5861000000","7376000000","7541000000","7197000000","7661000000","6944000000","7387000000","7568000000","9396000000","10593000000","7685000000","8348000000"
"                                Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22622000000","22391000000","26463000000","29882000000","31522000000","34805000000","28440000000","28914000000","30396000000","29906000000","30669000000","30668000000","31383000000","31748000000","31220000000","32373000000","33462000000","32374000000","36242000000"
"                                Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1530000000","2095000000","2574000000","2408000000","2740000000","2257000000","672000000","741000000","1520000000","1992000000","1660000000","1724000000","1617000000","826000000","1123000000","1583000000","1184000000","434000000","617000000"
"                                Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12985000000","15433000000","17188000000","19589000000","20994000000","20882000000","19512000000","20040000000","18980000000","19750000000","19984000000","27537000000","29368000000","29412000000","31005000000","32953000000","34273000000","34706000000","35660000000"
"                        Other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65948000000","83565000000","95070000000","121021000000","149164000000","144803000000","113605000000","108500000000","105992000000","109624000000","117141000000","123904000000","130216000000","137561000000","141290000000","172035000000","196501000000","177308000000","182475000000"
"                Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5575000000","8154000000","9232000000","10118000000","11074000000","18203000000","19118000000","18981000000","20776000000","21978000000","22122000000","19442000000","21022000000","20020000000","22039000000","24480000000","26145000000","25443000000","27162000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        South Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"466000000","934000000","1388000000","1529000000","1240000000","1316000000","1367000000","1252000000","1488000000","1240000000","1107000000","1732000000","1593000000","1412000000","1630000000","1886000000","2119000000","2293000000","2516000000"
"                        Other Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5108000000","7220000000","7844000000","8589000000","9834000000","16887000000","17750000000","17729000000","19288000000","20738000000","21014000000","17710000000","19429000000","18608000000","20409000000","22595000000","24025000000","23150000000","24645000000"
"                Middle East ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12070000000","11943000000","14440000000","20847000000","25933000000","26668000000","22592000000","19034000000","19779000000","21891000000","22359000000","23412000000","22684000000","26757000000","26840000000","31253000000","34091000000","29817000000","32172000000"
"                Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80630000000","104227000000","131878000000","163354000000","193854000000","182901000000","170848000000","182739000000","192886000000","188883000000","191046000000","197260000000","194006000000","198208000000","221538000000","248450000000","262491000000","247799000000","281502000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3798000000","5781000000","8427000000","10796000000","11931000000","9338000000","6872000000","10068000000","12175000000","7484000000","9062000000","10969000000","9765000000","9827000000","9861000000","13235000000","13338000000","12761000000","17476000000"
"                        China ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12257000000","15786000000","24519000000","35312000000","47966000000","54312000000","52735000000","51095000000","48390000000","44316000000","44064000000","46447000000","44096000000","41701000000","43814000000","50218000000","50335000000","44363000000","46181000000"
"                        Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3284000000","3478000000","4339000000","5820000000","7542000000","7566000000","7754000000","8163000000","7965000000","5618000000","5605000000","5813000000","6386000000","7233000000","8492000000","11065000000","12077000000","11798000000","11382000000"
"                        India ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2438000000","3118000000","3883000000","4370000000","5950000000","5962000000","5686000000","5826000000","6056000000","6600000000","7079000000","8242000000","9364000000","10197000000","11396000000","12401000000","13464000000","13265000000","15242000000"
"                        Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37168000000","49943000000","56423000000","67072000000","72128000000","64424000000","53745000000","60864000000","64261000000","66591000000","66170000000","66957000000","63555000000","67891000000","81146000000","87731000000","95153000000","85333000000","101995000000"
"                        Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3396000000","4327000000","5411000000","6242000000","7736000000","3652000000","6034000000","5820000000","7940000000","7877000000","8641000000","9512000000","9528000000","9355000000","10323000000","11810000000","11761000000","10621000000","13803000000"
"                        South Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4235000000","5141000000","6538000000","8208000000","9558000000","7701000000","6835000000","7997000000","8634000000","9950000000","10614000000","10427000000","10264000000","11113000000","12002000000","13240000000","14443000000","14890000000","20512000000"
"                        Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4835000000","6114000000","7124000000","7860000000","8008000000","8315000000","8350000000","9184000000","9844000000","13712000000","14118000000","14710000000","16592000000","17705000000","19255000000","20758000000","21852000000","22043000000","24124000000"
"                        Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9219000000","10538000000","15213000000","17674000000","23036000000","21630000000","22837000000","23721000000","27620000000","26735000000","25693000000","24181000000","24457000000","23185000000","25246000000","27992000000","30067000000","32725000000","30786000000"
"                International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28664000000","28296000000","28377000000","28658000000","33608000000","34403000000","37476000000","36193000000","35494000000","36573000000","42025000000","39800000000","45420000000","57855000000","52634000000","52476000000","52932000000","49272000000","51341000000"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Bureau of Economic Analysis","International Trade in Goods and Services","","https://www.bea.gov/data/intl-trade-investment/international-trade-goods-and-services",,"2020","Yearly"
"Exported on: 03/28/2024"
